,Date,holiday,R0,Rt,R0_ma7,Rt_ma7,R0_ma14,Rt_ma14,casos,mortes
197,2020-09-10,0,0.8510081989737514,0.8466295653451175,1.3439501819936885,0.7307311652697273,0.8925949326854222,0.45129398360339357,40761,974
198,2020-09-11,0,1.3740422515712105,0.30255541772916583,1.2592363458157438,0.7497980135402275,0.9092789523173824,0.41004046022237584,41533,848
199,2020-09-12,0,0.9912171977006881,0.019593197790752113,0.8234083532004354,0.17670746965405307,0.9441411073921746,0.41001965674992036,30800,767
200,2020-09-13,0,0.9562782563052465,0.018946596744592935,0.8103070395324911,0.17718992161760722,0.9383194764497907,0.41011296851911155,14020,405
201,2020-09-14,0,0.4140791941247274,0.012413864773648526,0.7131038312496212,0.1760828537997319,0.9592182533854532,0.4100008409260539,20611,458
202,2020-09-15,0,0.058430097903389946,0.012155021727537952,0.6663684243053246,0.1756332449799363,0.9606603868433307,0.4087389484455918,34552,1082
203,2020-09-16,0,0.02099330040168704,0.013875727615932079,0.6665783567115285,0.17516705596096357,0.9609478670073199,0.4087956175766668,37297,962
204,2020-09-17,0,0.7268673864533758,0.7067382858151808,0.6488439549229036,0.15518258745668692,0.9963970684582961,0.44295687636320735,36405,869
205,2020-09-18,0,1.3297595933084494,0.4418031585332902,0.6425178608853663,0.1750751218572761,0.950877103350555,0.46243656769875197,39731,828
206,2020-09-19,0,0.7586692163495256,0.03509694254170244,0.609296720692343,0.1772899425359833,0.7163525369463892,0.1769987060950184,29558,681
207,2020-09-20,0,0.681398584577184,0.015246205670618072,0.5700281961597627,0.1767613152397012,0.6901676178461269,0.1769756184286544,15442,351
208,2020-09-21,0,0.39858336191587035,0.01528514186790848,0.5678145058442118,0.17717149768173832,0.6404591685469164,0.1766271757407353,17635,466
209,2020-09-22,0,0.019453977154809794,0.011593432810452104,0.5622464885944145,0.1770912706935832,0.6143074564498695,0.17636225783675993,34967,794
210,2020-09-23,0,0.2669169932118901,0.2627237149692535,0.5973784447101578,0.2126409831726291,0.6319784007108432,0.19390401956679654,32726,932
211,2020-09-24,0,1.6329050161269463,1.5691506513218354,0.7268123918063824,0.33584274967357974,0.687828173364643,0.2455126685651335,32015,795
212,2020-09-25,0,2.758440580129179,2.1848413668191413,0.930909675637915,0.58484820800013,0.7867137682616407,0.37996166492870326,32310,822
213,2020-09-26,0,0.9543500169909297,0.029179401918488414,0.9588640757295442,0.5840028450539565,0.7840803982109437,0.3806463937949701,24718,722
214,2020-09-27,0,0.8141708926898422,0.015403663770803735,0.9778315483170668,0.5840253390682688,0.7739298722384148,0.38039332715398516,13787,339
